TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
366016,Magic,7th Edition,Marble Diamond,,,U,Lightly Played,0.32,0.25,1.04,0.26,1,0,0.32,
372720,Magic,8th Edition,Abyssal Specter,,,U,Lightly Played,0.08,0.09,0.87,0.09,2,0,0.08,
372721,Magic,8th Edition,Ambition's Cost,,,U,Lightly Played,0.34,0.24,1.11,0.33,1,0,0.35,
372671,Magic,8th Edition,Concentrate,,68,U,Lightly Played,0.13,,0.89,0,1,,0.13,
372842,Magic,8th Edition,Craw Wurm,,,C,Lightly Played,0.07,0.04,0.82,0.04,1,0,0.04,
372846,Magic,8th Edition,Elvish Pioneer,,,C,Lightly Played,0.18,0.18,0.93,0.15,1,0,0.17,
341176,Magic,8th Edition,Mana Leak,,89,C,Moderately Played,0.21,0.25,1.04,0.26,4,0,0.22,
372698,Magic,8th Edition,Remove Soul,,,C,Lightly Played,0.1,0.08,0.82,0.04,5,0,0.1,
372824,Magic,8th Edition,Shivan Dragon,,,R,Lightly Played,0.17,0.2,0.91,0.13,1,0,0.17,
372654,Magic,8th Edition,Suntail Hawk,,,C,Lightly Played,0.05,,0.81,0.03,3,0,0.06,
372832,Magic,8th Edition,Two-Headed Dragon,,,R,Lightly Played,0.51,0.5,1.17,0.39,1,0,0.5,
372772,Magic,8th Edition,Unholy Strength,,,C,Lightly Played,0.06,0.07,0.83,0.05,1,0,0.08,
372834,Magic,8th Edition,Volcanic Hammer,,,C,Lightly Played,0.07,0.07,0.86,0.08,1,0,0.07,
367025,Magic,Alliances,Fevered Strength,,11,C,Lightly Played,0.04,0.03,0.81,0.03,1,0,0.06,
367088,Magic,Alliances,Scars of the Veteran,,,U,Lightly Played,0.11,0.12,0.86,0.08,1,0,0.13,
367100,Magic,Alliances,Soldevi Steam Beast,,178,C,Lightly Played,0.08,,0.85,0.07,1,0,0.11,
3324183,Magic,Amonkhet,Gravedigger,,93,U,Lightly Played,0.05,0.06,0.83,0.05,1,0,0.05,
370632,Magic,Apocalypse,Ana Disciple,,,C,Lightly Played,0.08,,0.8,0.02,3,0,0.08,
370639,Magic,Apocalypse,Bloodfire Infusion,,,C,Lightly Played,0.1,,0.84,0.06,3,0,0.09,
370641,Magic,Apocalypse,Bog Gnarr,,,C,Lightly Played,0.05,,0.82,0.04,2,0,0.05,
370642,Magic,Apocalypse,Brass Herald,,,U,Lightly Played,0.19,0.19,0.92,0.13,1,0,0.19,
370643,Magic,Apocalypse,Captain's Maneuver,,,U,Lightly Played,0.14,0.14,0.92,0.13,3,0,0.14,
370645,Magic,Apocalypse,Ceta Disciple,,,C,Lightly Played,0.08,0.07,0.85,0.07,5,0,0.08,
370647,Magic,Apocalypse,Cetavolver,,,R,Lightly Played,0.18,0.18,0.9,0.12,1,0,0.17,
339134,Magic,Apocalypse,Coastal Drake,,,C,Moderately Played,0.03,0.02,0.81,0.03,2,0,0.03,
370651,Magic,Apocalypse,Consume Strength,,,C,Lightly Played,0.1,,0.87,0.09,4,0,0.1,
370657,Magic,Apocalypse,Dega Disciple,,,C,Lightly Played,0.05,0.04,0.82,0.04,2,0,0.05,
370663,Magic,Apocalypse,Divine Light,,,C,Lightly Played,0.11,,0.86,0.08,2,0,0.11,
370666,Magic,Apocalypse,Dwarven Landslide,,,C,Lightly Played,0.08,,0.83,0.05,2,0,0.09,
370668,Magic,Apocalypse,Ebony Treefolk,,,U,Lightly Played,0.12,,0.91,0.13,2,0,0.13,
370669,Magic,Apocalypse,Emblazoned Golem,,,U,Lightly Played,0.12,,0.89,0.11,1,0,0.11,
370670,Magic,Apocalypse,Enlistment Officer,,,U,Lightly Played,0.18,,0.94,0.15,1,0,0.16,
370671,Magic,Apocalypse,Evasive Action,,,U,Lightly Played,0.13,,0.81,0.03,1,0,0.12,
370675,Magic,Apocalypse,Flowstone Charger,,,U,Lightly Played,0.09,0.09,0.87,0.09,2,0,0.09,
370676,Magic,Apocalypse,Foul Presence,,,U,Lightly Played,0.1,,0.85,0.07,3,0,0.08,
370678,Magic,Apocalypse,Gaea's Balance,,,U,Lightly Played,0.15,,0.91,0.12,1,0,0.15,
370679,Magic,Apocalypse,Gaea's Skyfolk,,101,C,Lightly Played,0.14,0.14,0.88,0.1,4,0,0.14,
339165,Magic,Apocalypse,Gerrard's Verdict,,,U,Moderately Played,0.26,0.26,1.13,0.35,2,0,0.26,
370682,Magic,Apocalypse,Glade Gnarr,,,C,Lightly Played,0.06,0.05,0.83,0.05,7,0,0.06,
370683,Magic,Apocalypse,Goblin Legionnaire,,103,C,Lightly Played,0.11,,0.84,0.06,2,0,0.12,
370685,Magic,Apocalypse,Goblin Trenches,,,R,Lightly Played,0.22,0.17,0.98,0.2,1,0,0.21,
370689,Magic,Apocalypse,Helionaut,,,C,Lightly Played,0.06,,0.83,0.05,5,0,0.06,
370690,Magic,Apocalypse,Ice Cave,,,R,Lightly Played,0.43,0.4,1.19,0.41,1,0,0.42,
370691,Magic,Apocalypse,Illuminate,,,U,Lightly Played,0.11,0.11,0.89,0.11,1,0,0.11,
370694,Magic,Apocalypse,Jaded Response,,,C,Lightly Played,0.08,0.06,0.81,0.03,1,0,0.08,
370697,Magic,Apocalypse,Kavu Glider,,,C,Lightly Played,0.04,0.01,0.79,0.01,1,0,0.04,
339184,Magic,Apocalypse,Last Caress,,,C,Moderately Played,0.04,,0.83,0.05,3,0,0.04,
370701,Magic,Apocalypse,Last Stand,,,R,Lightly Played,0.22,0.22,0.99,0.21,1,0,0.22,
